Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","1u","C_0402_1005Metric",30.700000,-21.325000,-90.000000,top
"C2","3.3u","C_0603_1608Metric",32.825000,-24.525000,180.000000,top
"C3","100n","C_0402_1005Metric",36.375000,-24.670000,90.000000,top
"C4","100n","C_0402_1005Metric",45.325000,-27.800000,180.000000,top
"C5","100n","C_0402_1005Metric",34.350000,-33.950000,90.000000,top
"C6","100n","C_0402_1005Metric",47.100000,-35.700000,-90.000000,top
"C7","27p","C_0402_1005Metric",49.025000,-35.700000,-90.000000,top
"C8","27p","C_0402_1005Metric",58.075000,-35.175000,-90.000000,top
"C9","100n","C_0402_1005Metric",48.700000,-22.600000,90.000000,top
"D1","green","LED_0603_1608Metric",38.050000,-21.625000,90.000000,top
"D2","red","LED_0603_1608Metric",39.750000,-21.600000,90.000000,top
"D3","yellow","LED_0603_1608Metric",41.400000,-21.625000,90.000000,top
"D4","yellow","LED_0603_1608Metric",43.100000,-21.625000,90.000000,top
"J1","PB53261−04","X1311WVS-04J-C18D42R1",49.030000,-30.175000,90.000000,top
"J2","USB_Mini_B","U-M-M5SS-W-2",28.975000,-29.400000,-90.000000,top
"J3","X1270WVS-2x05A-6TV01","X1270WVS-2x05A-6TV01",55.500000,-26.675000,90.000000,top
"Q1","FDV304P","SOT-23",46.000000,-21.825000,0.000000,top
"R1","1k5","R_0402_1005Metric",32.700000,-30.550000,180.000000,top
"R2","22","R_0402_1005Metric",32.700000,-31.725000,180.000000,top
"R3","22","R_0402_1005Metric",32.700000,-32.875000,180.000000,top
"R4","390","R_0402_1005Metric",38.050000,-24.225000,90.000000,top
"R5","390","R_0402_1005Metric",39.750000,-24.200000,90.000000,top
"R6","390","R_0402_1005Metric",41.400000,-24.200000,90.000000,top
"R7","390","R_0402_1005Metric",43.100000,-24.200000,90.000000,top
"R8","4k7","R_0402_1005Metric",50.975000,-22.600000,-90.000000,top
"R9","10k","R_0402_1005Metric",49.825000,-22.625000,90.000000,top
"R10","10k","R_0402_1005Metric",32.700000,-27.050000,180.000000,top
"R11","4k7","R_0402_1005Metric",32.700000,-29.425000,0.000000,top
"R12","10k","R_0402_1005Metric",32.725000,-28.250000,180.000000,top
"R13","0R","R_0402_1005Metric",34.500000,-35.900000,90.000000,top
"R14","0R","R_0402_1005Metric",35.825000,-36.100000,90.000000,top
"R15","1","R_0402_1005Metric",35.000000,-24.675000,-90.000000,top
"S1","B3U-1000P","B3U-1000P",23.825000,-21.700000,0.000000,top
"U1","LP2981-33","SOT-23-5",34.050000,-21.800000,0.000000,top
"U2","STM32F102CBTx","LQFP-48_7x7mm_P0.5mm",40.600000,-31.550000,180.000000,top
"X1","8 MHz","G5308000201080",54.475000,-35.225000,0.000000,top
